 1012 Version 10.0.2 STANDARDS TEXT MUST BE 60 CHARS OR LESS. S ref line number, s source line, number of entries
   36 00 1    0   36 S Function has no return statement.                           BARR-C:2013 6.2.c BARR-C:2018 6.2.c CAST 5.9.1 CERT-C:2008 MSC15-C CERT-C:2014 MSC37-C CERT-C:2016 MSC37-C CMSE 9.1.1 CWE-2.11 758 CWE-3.4 758 DERA 75 GJB 4.9.1.1 GJB_5369 4.9.1.1 GJB_8114 R-1-7-7 MISRA-AC 16.8 MISRA-C:1998 75 MISRA-C:2004 16.8 MISRA-C:2012(Ed 3 Rev 1) R.17.4 MISRA-C:2012(Ed 3) R.17.4 MISRA-C:2012/AMD1 R.17.4 MISRA-C:2012/AMD1/TC1 R.17.4 MISRA-C:2012/AMD2 R.17.4 MISRA-C:2012/TC1 R.17.4 NUREG_CR-6463 1.2.1 RUNTIME FN SEC-Cv1 X2.x SEC-Cv2 X2.x SEC-Cv3 X2.x
   37 00 1    0   37 S Procedure parameter has a type but no identifier.           BARR-C:2013 6.2.f BARR-C:2018 6.2.f CAST 5.1.6 CMSE 1.1.7 FSB582-C 3.6.4 GJB 4.1.1.7 GJB_5369 4.1.1.7 GJB_8114 R-1-1-13 MISRA-AC 16.3 MISRA-C:2004 16.3 MISRA-C:2012(Ed 3 Rev 1) R.8.2 MISRA-C:2012(Ed 3) R.8.2 MISRA-C:2012/AMD1 R.8.2 MISRA-C:2012/AMD1/TC1 R.8.2 MISRA-C:2012/AMD2 R.8.2 MISRA-C:2012/TC1 R.8.2 NUREG_CR-6463 1.2.5.1 SEC-Cv1 M4.5.1 SEC-Cv2 M4.5.1 SEC-Cv3 M4.5.1
   38 00 0    0   38 S Not used for 'c'.
   39 00 1    0   39 S Unsuitable type for loop variable.                          CAST 5.11.1 CERT-C:2008 FLP30-C CERT-C:2014 FLP30-C CERT-C:2016 FLP30-C CMSE 11.1.1 CWE-2.11 682 CWE-3.4 682 DERA 65 GJB 4.11.1.1 GJB_5369 4.11.1.1 GJB_8114 R-1-9-2 MISRA-AC 13.4 MISRA-C:1998 65 MISRA-C:2004 13.4 MISRA-C:2012(Ed 3 Rev 1) R.14.1 MISRA-C:2012(Ed 3) R.14.1 MISRA-C:2012/AMD1 R.14.1 MISRA-C:2012/AMD1/TC1 R.14.1 MISRA-C:2012/AMD2 R.14.1 MISRA-C:2012/TC1 R.14.1 SEC-Cv1 R2.1.2 SEC-Cv2 R2.1.2 SEC-Cv3 R2.1.2
   40 00 1    0   40 S Loop index is not declared locally.                         CAST 5.11.2 CERT-C:2014 DCL19-C CERT-C:2016 DCL19-C CMSE 11.1.2 GJB 4.11.1.2 GJB_5369 4.11.1.2 GJB_8114 R-1-9-1
   41 00 1    0   41 S Ellipsis used in procedure parameter list.                  CAST 5.1.7 CERT-C:2008 DCL10-C,DCL11-C CERT-C:2014 DCL10-C,DCL11-C CERT-C:2016 DCL10-C,DCL11-C CMSE 1.1.8 CWE-2.11 628 CWE-3.4 628,1056 DERA 69 FSB582-C 3.6.5 GJB 4.1.1.8 GJB_5369 4.1.1.8 GJB_8114 R-1-7-15 JPL 8 MISRA-AC 16.1 MISRA-C:1998 69 MISRA-C:2004 16.1 NUREG_CR-6463 1.2.5.4 SEC-Cv1 R2.8.2 SEC-Cv2 R2.8.2 SEC-Cv3 R2.8.2
   42 00 1    0   42 S Use of bit field in structure declaration.                  CAST 5.1.21 CERT-C:2014 MSC14-C CERT-C:2016 MSC14-C CMSE 1.2.4 CWE-3.4 1102 GJB 4.1.2.4 GJB_5369 4.1.2.4 MISRA-AC 3.5 MISRA-C:2004 3.5 NUREG_CR-6463 1.2.5.10,4.5.3.3 SEC-Cv1 P1.3.3 SEC-Cv2 P1.3.3 SEC-Cv3 P1.3.3
   43 00 1    0   43 S Use of setjmp/longjmp.                                      BARR-C:2018 8.5.b CAST 5.5.3 CERT-C:2008 ENV33-C CERT-C:2014 MSC22-C CERT-C:2016 MSC22-C CMSE 5.2.1 CWE-3.4 1119 DERA 122 GJB 4.5.2.1 GJB_5369 4.5.2.1 GJB_8114 R-1-5-2 JPL 1 MISRA-AC 20.7 MISRA-C:1998 122 MISRA-C:2004 20.7 MISRA-C:2012(Ed 3 Rev 1) R.21.4 MISRA-C:2012(Ed 3) R.21.4 MISRA-C:2012/AMD1 R.21.4 MISRA-C:2012/AMD1/TC1 R.21.4 MISRA-C:2012/AMD2 R.21.4 MISRA-C:2012/TC1 R.21.4 NUREG_CR-6463 1.2.1.2,1.2.2,2.2.3.2
   44 00 1    0   44 S Use of banned function, type or variable.                   CERT-C:2008 DCL03-C,ENV00-C,ERR01-C,ERR06-C,ERR30-C,ERR32-C,EXP38-C,FIO43-C,INT06-C,MSC30-C,POS33-C,STR03-C,STR35-C CERT-C:2014 CON33-C,CON37-C,DCL03-C,ERR01-C,ERR06-C,ERR07-C,ERR32-C,FIO03-C,FIO05-C,FIO06-C,FIO09-C,FIO17-C,FIO18-C,FIO19-C,FIO20-C,FIO21-C,FIO37-C,FIO40-C,INT05-C,INT06-C,MEM03-C,MEM36-C,MSC24-C,MSC30-C,MSC33-C,POS33-C,SIG00-C,SIG02-C,SIG35-C,STR03-C,STR07-C CERT-C:2016 CON33-C,CON37-C,DCL03-C,ERR01-C,ERR06-C,ERR07-C,ERR32-C,FIO03-C,FIO05-C,FIO06-C,FIO09-C,FIO17-C,FIO18-C,FIO19-C,FIO20-C,FIO21-C,FIO37-C,FIO40-C,INT05-C,MEM03-C,MEM36-C,MSC24-C,MSC30-C,MSC33-C,POS33-C,SIG00-C,SIG02-C,SIG35-C,STR03-C,STR07-C CMSE 7.1.4 CWE-2.11 78,120,176,187,242,338,365,475,477,558,560,676 CWE-3.4 78,120,176,187,242,338,365,475,477,558,560,676,1177 DERA 69,118,119,120,121,125,126 GJB 4.7.1.4 GJB_5369 4.7.1.4,4.8.1.1 GJB_8114 A-1-6-4,A-1-6-5,R-1-6-18,R-1-13-11 JPL 3 MISRA-AC 20.1,20.4,20.5,20.6,20.10,20.11 MISRA-C:1998 69,118,119,120,121,125,126 MISRA-C:2004 20.1,20.4,20.5,20.6,20.10,20.11 MISRA-C:2012(Ed 3 Rev 1) D.4.12,R.1.3,R.17.1,R.21.3,R.21.6,R.21.7,R.21.8,R.21.9,R.21.10,R.21.12 MISRA-C:2012(Ed 3) D.4.12,R.1.3,R.17.1,R.21.3,R.21.6,R.21.7,R.21.8,R.21.9,R.21.10,R.21.12 MISRA-C:2012/AMD1 D.4.12,R.1.3,R.17.1,R.21.3,R.21.6,R.21.7,R.21.8,R.21.9,R.21.10,R.21.12 MISRA-C:2012/AMD1/TC1 D.4.12,R.1.3,R.17.1,R.21.3,R.21.6,R.21.7,R.21.8,R.21.9,R.21.10,R.21.12 MISRA-C:2012/AMD2 D.4.12,R.1.3,R.1.4,R.17.1,R.21.3,R.21.6,R.21.7,R.21.9,R.21.10,R.21.12 MISRA-C:2012/TC1 D.4.12,R.1.3,R.17.1,R.21.3,R.21.6,R.21.7,R.21.8,R.21.9,R.21.10,R.21.12 NUREG_CR-6463 1.1.1,1.1.5.1,1.1.5.2,1.1.6,1.2.5.2 SEC-Cv1 M5.2.1 SEC-Cv2 M5.2.1 SEC-Cv3 M5.2.1
   45 00 1    0   45 S Use of C++ keyword.                                         BARR-C:2013 6.1.a,7.1.a BARR-C:2018 6.1.a,7.1.a CAST 5.1.8 CMSE 1.1.9 GJB 4.1.1.9 GJB_5369 4.1.1.9 GJB_8114 R-1-1-4 NUREG_CR-6463 4.5.2
